2016-11-21T15:48:53.277-0500 I CONTROL  [initandlisten] MongoDB starting : pid=1547 port=27017 dbpath=/data/db 64-bit host=Pariss-iMac
2016-11-21T15:48:53.278-0500 I CONTROL  [initandlisten] db version v3.2.9
2016-11-21T15:48:53.278-0500 I CONTROL  [initandlisten] git version: 22ec9e93b40c85fc7cae7d56e7d6a02fd811088c
2016-11-21T15:48:53.278-0500 I CONTROL  [initandlisten] allocator: system
2016-11-21T15:48:53.278-0500 I CONTROL  [initandlisten] modules: none
2016-11-21T15:48:53.278-0500 I CONTROL  [initandlisten] build environment:
2016-11-21T15:48:53.278-0500 I CONTROL  [initandlisten]     distarch: x86_64
2016-11-21T15:48:53.278-0500 I CONTROL  [initandlisten]     target_arch: x86_64
2016-11-21T15:48:53.278-0500 I CONTROL  [initandlisten] options: { processManagement: { fork: true }, systemLog: { destination: "file", path: "mongo.log" } }
2016-11-21T15:48:53.312-0500 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2016-11-21T15:48:53.312-0500 W -        [initandlisten] Detected unclean shutdown - /data/db/mongod.lock is not empty.
2016-11-21T15:48:53.312-0500 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
2016-11-21T15:48:53.312-0500 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=4G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2016-11-21T15:48:58.704-0500 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2016-11-21T15:48:58.704-0500 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
2016-11-21T15:48:58.792-0500 I NETWORK  [initandlisten] waiting for connections on port 27017
2016-11-21T15:48:59.071-0500 I FTDC     [ftdc] Unclean full-time diagnostic data capture shutdown detected, found interim file, some metrics may have been lost. OK
2016-11-21T15:48:59.348-0500 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:51325 #1 (1 connection now open)
2016-11-21T15:49:02.326-0500 I INDEX    [conn1] build index on: housekeeping.items properties: { v: 1, unique: true, key: { name: 1 }, name: "name_1", ns: "housekeeping.items", background: true }
2016-11-21T15:49:02.326-0500 I INDEX    [conn1] build index done.  scanned 0 total records. 0 secs
2016-11-21T15:49:02.326-0500 I COMMAND  [conn1] command housekeeping.$cmd command: createIndexes { createIndexes: "items", indexes: [ { name: "name_1", key: { name: 1 }, unique: true, background: true } ], writeConcern: { w: 1 } } keyUpdates:0 writeConflicts:0 numYields:0 reslen:113 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 2954ms
2016-11-21T16:13:08.235-0500 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain address information for hostname Pariss-iMac: nodename nor servname provided, or not known
2016-11-21T16:51:41.761-0500 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:52913 #2 (2 connections now open)
2016-11-21T16:52:19.478-0500 I COMMAND  [conn2] CMD: drop housekeeping.items
2016-11-21T16:57:00.176-0500 I COMMAND  [conn1] command housekeeping.items command: insert { insert: "items", documents: [ { _id: ObjectId('58336dab0bae91060f12d09f'), log: [], __v: 0 } ], ordered: false, writeConcern: { w: 1 } } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{ Global: { acquireCount: { r: 2, w: 2 } }, Database: { acquireCount: { w: 1, W: 1 } }, Collection: { acquireCount: { w: 1, W: 1 } } } protocol:op_query 377ms
2016-11-21T16:57:17.952-0500 I COMMAND  [conn2] CMD: drop housekeeping.items
2016-11-21T16:58:21.953-0500 I COMMAND  [conn1] command housekeeping.items command: insert { insert: "items", documents: [ { _id: ObjectId('58336dfd0bae91060f12d0a0'), log: [], __v: 0 } ], ordered: false, writeConcern: { w: 1 } } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{ Global: { acquireCount: { r: 2, w: 2 } }, Database: { acquireCount: { w: 1, W: 1 } }, Collection: { acquireCount: { w: 1, W: 1 } } } protocol:op_query 591ms
2016-11-21T17:00:07.021-0500 I COMMAND  [conn2] CMD: drop housekeeping.items
2016-11-21T18:05:33.096-0500 I COMMAND  [conn1] command housekeeping.items command: insert { insert: "items", documents: [ { _id: ObjectId('58337dbc0bae91060f12d0a1'), log: [], __v: 0 } ], ordered: false, writeConcern: { w: 1 } } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{ Global: { acquireCount: { r: 2, w: 2 } }, Database: { acquireCount: { w: 1, W: 1 } }, Collection: { acquireCount: { w: 1, W: 1 } } } protocol:op_query 585ms
2016-11-21T18:06:29.753-0500 I COMMAND  [conn2] CMD: drop housekeeping.items
2016-11-21T18:06:43.968-0500 I COMMAND  [conn1] command housekeeping.items command: insert { insert: "items", documents: [ { _id: ObjectId('58337e030bae91060f12d0a2'), log: [], __v: 0 } ], ordered: false, writeConcern: { w: 1 } } ninserted:1 keyUpdates:0 writeConflicts:0 numYields:0 reslen:40 locks:{ Global: { acquireCount: { r: 2, w: 2 } }, Database: { acquireCount: { w: 1, W: 1 } }, Collection: { acquireCount: { w: 1, W: 1 } } } protocol:op_query 798ms
2016-11-21T18:06:50.121-0500 I COMMAND  [conn2] CMD: drop housekeeping.items
2016-11-21T18:07:01.424-0500 I COMMAND  [conn2] CMD: drop housekeeping.items
2016-11-21T20:49:56.791-0500 I NETWORK  [conn1] end connection 127.0.0.1:51325 (1 connection now open)
2016-11-21T20:49:57.191-0500 I NETWORK  [conn2] end connection 127.0.0.1:52913 (0 connections now open)
